district_id,total_pop,elderly_ratio,children_ratio
0,27100,0.2177059650697319,0.13382625428612424
1,41339,0.2449038808135476,0.15726748312502778
2,30432,0.18620697579253018,0.24646662284546908
3,46941,0.18658194541895173,0.29413315891998215
4,32839,0.27176050289282816,0.11324313281541037
5,5104,0.22185288313706886,0.1020159612971954
6,31891,0.1760186851590186,0.15166853379450518
7,8234,0.2905058047342505,0.23580068748192642
8,46402,0.123946924339917,0.22555379495989
9,36108,0.28102708648496344,0.2816600343632758
10,20264,0.22864422125406125,0.19592406271135962
11,40249,0.10225860536164605,0.2658012537192073
