district_id,name,lat,lon,base_demand,vulnerability_score
0,District_A,34.004019585056284,-118.1665187676506,74,0.7214918420982434
1,District_B,34.07052543713441,-118.16076901731405,69,0.22068527514760516
2,District_C,34.07164696301495,-118.27483680374117,96,0.4025147680967053
3,District_D,34.14979376809119,-118.25238817395778,76,0.2753374555123377
4,District_E,33.97252730537149,-118.32122287820953,190,0.6387259953491653
5,District_F,34.05854532481498,-118.15868618379372,50,0.8747434565158058
6,District_G,33.96014518474941,-118.29703181822131,101,0.6426851076213258
7,District_H,34.086516289540846,-118.31385708244407,196,0.6527496927945728
8,District_I,34.04355663886412,-118.31881324284929,104,0.5790852671630348
9,District_J,33.9521110306551,-118.29085528415918,134,0.8805210720322324
10,District_K,34.09247007145287,-118.29486571622972,182,0.19587531880281814
11,District_L,34.14250638775103,-118.1716255445186,197,0.23878722167733848
